filename,width,height,length,class,x_0,x_1,x_2,y_0,y_1,y_2
li_0,400,400,37.126214215928144,1,215.9375,180.27510350244148,7.187499999999999,244.44444444444443,234.1221744393577,77.77777777777777
li_0,400,400,33.60957315107372,1,244.0625,210.6365813445255,220.3125,244.44444444444443,247.9532005538056,11.111111111111144
li_0,400,400,41.75080543711688,1,209.06250000000003,169.03722156151915,5.625,250.0,238.12115996529687,172.22222222222223
li_0,400,400,5.146512358464418,1,259.0625,258.897577561506,392.1875,233.3333333333333,228.1894641626498,122.22222222222224
li_1,400,400,61.78705829048088,1,231.25,169.83291968025796,28.4375,255.5555555555556,248.80405074628257,5.555555555555543
li_1,400,400,21.83107727728108,1,229.0625,207.40886835148865,365.3125,244.44444444444443,241.6666446825457,5.555555555555543
li_1,400,400,59.99134400512455,1,213.4375,153.97665417996856,15.0,255.5555555555556,247.59508007304555,166.66666666666666
li_1,400,400,26.95660994039328,1,256.5625,231.72085959893292,389.6875,255.5555555555556,245.08885972245795,161.11111111111111
li_2,400,400,39.258067476998896,1,210.9375,171.67955824072786,6.25,255.5555555555556,255.45620338298448,38.88888888888886
li_2,400,400,43.06748880426965,1,233.75,192.80249690285373,316.5625,255.5555555555556,242.2097478986512,11.111111111111144
li_2,400,400,66.77484072590799,1,181.25,117.42766623647852,15.312500000000002,255.5555555555556,235.91913360683876,183.33333333333331
li_3,400,400,22.747048394957872,1,164.0625,185.9051813859357,39.6875,255.5555555555556,249.2053208705181,5.555555555555543
li_3,400,400,18.983942279338734,1,184.375,202.85364521407345,365.9375,255.5555555555556,259.9063871447653,11.111111111111144
li_3,400,400,31.52267930634371,1,127.1875,101.258681885322,10.3125,238.88888888888889,220.96193427226385,166.66666666666666
li_4,400,400,11.17279759132687,1,176.5625,186.41115044591996,26.875,255.5555555555556,260.8314905827181,5.555555555555543
li_4,400,400,148.0081983877106,1,192.8125,269.49750058059,343.75,255.5555555555556,128.96235875600075,5.555555555555543
li_4,400,400,101.56100975611815,1,206.875,297.51526754120425,394.0625,255.5555555555556,209.7409224920764,161.11111111111111
li_5,400,400,134.19600033770467,1,200.3125,136.70844449558905,71.5625,250.0,131.83447782864476,11.111111111111144
li_5,400,400,138.6974518826105,1,215.0,287.7058831988485,365.625,255.5555555555556,137.44189120208438,11.111111111111144
li_5,400,400,99.6011076068973,1,180.625,95.42338894795203,6.5625,250.0,198.41447770298072,144.44444444444446
li_5,400,400,94.75021355071968,1,230.625,313.7264086204759,392.1875,255.5555555555556,210.0389777711958,166.66666666666666
li_8,400,400,149.34139226319832,1,193.125,109.667526328587,27.8125,250.0,126.15452559138112,5.555555555555543
li_8,400,400,147.84100631822488,1,206.25,266.58964169347405,320.9375,261.1111111111111,126.1441122206839,5.555555555555543
li_8,400,400,100.4006087293637,1,180.625,94.6821888770922,6.25,255.5555555555556,203.6506863281028,150.0
li_8,400,400,21.07843465655357,1,211.5625,229.41462055553856,392.5,261.1111111111111,249.9038724127913,150.0
li_9,400,400,141.53927457372686,1,178.4375,93.19593503385504,6.875000000000001,255.5555555555556,142.5633352526545,27.77777777777777
li_9,400,400,141.05639735716633,1,195.3125,263.8078993253916,334.375,255.5555555555556,132.24583368968666,5.555555555555543
li_9,400,400,125.42573726877286,1,153.75,43.50334765813561,10.0,250.0,190.18953923578815,172.22222222222223
li_9,400,400,5.909948225935791,1,208.125,213.31247826513317,387.8125,255.5555555555556,252.7240264135525,155.55555555555554
li_10,400,400,138.53077533754885,1,194.6875,143.5800582175226,93.125,266.6666666666667,137.9079577958757,11.111111111111144
li_10,400,400,154.2386983506234,1,210.3125,301.94973905631934,395.3125,266.6666666666667,142.60139156106118,16.66666666666663
li_10,400,400,107.71430216426069,1,176.875,89.12054273695965,4.6875,266.6666666666667,204.20446912925308,144.44444444444446
li_10,400,400,42.2726268201254,1,226.25000000000003,258.4635290797915,395.3125,266.6666666666667,239.2939882719788,172.22222222222223
li_11,400,400,137.45836875919946,1,175.625,101.11442618504114,24.6875,238.88888888888889,123.37708199580273,5.555555555555543
li_11,400,400,135.54226212309214,1,203.4375,277.37116852376147,350.9375,238.88888888888889,125.28643521792463,11.111111111111144
li_11,400,400,143.95259140273487,1,142.8125,15.157603048018675,4.375,238.88888888888889,172.35637160792496,166.66666666666666
li_11,400,400,98.20062609295768,1,219.375,306.7904978371117,392.8125,250.0,205.25747321687336,161.11111111111111
li_12,400,400,23.63122265254874,1,163.125,186.33053849344932,63.125,255.5555555555556,260.0207170625308,5.555555555555543
li_12,400,400,121.72396356812273,1,192.1875,292.1674143714881,392.1875,250.0,180.5684507662146,111.11111111111114
li_12,400,400,70.96827215492569,1,133.75,73.64021919271273,9.6875,238.88888888888889,201.1621092230404,161.11111111111111
li_12,400,400,70.81313142142623,1,260.9375,329.72175778445,397.1875,244.44444444444443,227.61514075265396,211.11111111111111
li_13,400,400,277.3847287813892,1,169.6875,39.43522318063943,43.125,244.44444444444443,-0.4568257533588848,5.555555555555543
li_13,400,400,149.7889182498412,1,204.37500000000003,288.8160768923645,377.1875,244.44444444444443,120.72530864195264,16.66666666666663
li_13,400,400,77.90462696604972,1,149.0625,81.92462072730606,6.5625,244.44444444444443,204.92690315599208,161.11111111111111
li_13,400,400,26.21531049649718,1,224.375,201.10472931033684,386.875,250.0,237.92784168188808,155.55555555555554
li_14,400,400,133.28593714801798,1,182.8125,117.49800838355137,38.75,261.1111111111111,144.92523319855985,5.555555555555543
li_14,400,400,148.1853308701548,1,188.4375,261.42307757074025,330.3125,266.6666666666667,137.7015638218943,16.66666666666663
li_14,400,400,97.81564461531993,1,170.625,86.96776242684604,5.9375,261.1111111111111,210.42218793119497,161.11111111111111
li_14,400,400,110.1383830868794,1,210.9375,306.74573959425044,397.5,255.5555555555556,201.2301963313139,150.0
li_15,400,400,140.4982437828018,1,185.0,126.97831256167107,69.0625,261.1111111111111,133.15314811989873,5.555555555555543
li_15,400,400,161.95873906260528,1,194.0625,296.09489082012163,396.875,261.1111111111111,135.33343271673533,11.111111111111144
li_15,400,400,104.39140384921473,1,202.5,298.0883532887808,392.1875,261.1111111111111,219.15360983721408,177.77777777777777
li_16,400,400,80.54857956434311,1,135.9375,216.4209951277127,67.1875,266.6666666666667,263.429278543386,5.555555555555543
li_16,400,400,58.95032921300133,1,160.9375,219.44290032903533,393.4375,266.6666666666667,259.4375971096247,16.66666666666663
li_16,400,400,60.10466247770806,1,123.75,182.5245606414651,3.4375000000000004,266.6666666666667,254.0920305700653,144.44444444444446
li_16,400,400,74.17629462348025,1,181.875,252.01625779073504,392.8125,266.6666666666667,242.53522162906077,177.77777777777777
li_17,400,400,23.50709576991124,1,223.4375,200.00208504551344,90.0,250.0,248.1656397717987,11.111111111111144
li_17,400,400,26.761118296217223,1,246.25,219.9387106325656,385.0,250.0,245.1139479856161,16.66666666666663
li_17,400,400,40.91196789239167,1,205.0,164.99617441298918,8.125,250.0,241.4277741961549,144.44444444444446
li_17,400,400,18.98828080907605,1,270.3125,255.7354085439072,392.8125,255.5555555555556,243.38743274367403,172.22222222222223
li_18,400,400,14.131016702788871,1,192.5,203.5662552422481,38.125,244.44444444444443,253.23214197951663,11.111111111111144
li_18,400,400,136.7300872089792,1,217.8125,287.18972531011127,355.625,244.44444444444443,126.62289566645086,11.111111111111144
li_18,400,400,89.33948469094474,1,158.4375,80.93757339282455,3.4375000000000004,238.88888888888889,194.44448653351944,150.0
li_18,400,400,169.346903942755,1,249.375,399.3587174116578,397.8125,238.88888888888889,160.25519136437558,161.11111111111111
li_19,400,400,150.00336827716217,1,180.3125,105.1244132533397,35.0,255.5555555555556,125.75662603042184,5.555555555555543
li_19,400,400,160.73070937840887,1,191.875,293.14754041958287,390.3125,255.5555555555556,130.74276176321035,11.111111111111144
li_19,400,400,90.9666580148483,1,165.3125,86.04899016707523,7.8125,250.0,205.36560878250717,161.11111111111111
li_20,400,400,17.89122487755425,1,180.3125,197.95505231321465,72.1875,250.0,252.97258734012988,11.111111111111144
li_20,400,400,17.307280121297296,1,207.50000000000003,224.16665943189443,387.1875,244.44444444444443,239.7792104119121,5.555555555555543
