filename,width,height,length,class,xmin,xmax,ymin,ymax
li_3207,400,400,145.32857657859057,1,249.138216053176,117.31258309056133,234.724603788599,173.54946452136676
li_3207,400,400,71.5821463856133,1,343.2486437917909,399.32946955808865,265.371521766781,220.8861908975885
li_3207,400,400,300.7661320816403,1,72.8228400632541,373.5631376586501,13.456095670110368,17.398126819577975
li_4114,400,400,253.65460178387727,1,39.78285965929382,232.24413193308013,39.71986377657433,204.94490933835604
li_4114,400,400,374.110211160185,1,46.03402092273874,386.8751110064477,170.43901333229394,16.212551903435248
li_801,400,400,85.79389372593288,1,217.107537234286,300.80655335253476,189.64442942338655,170.80121044430018
li_4186,400,400,272.2277011467029,1,70.82379671084573,196.0194377015889,2.590690785914118,244.32189015524565
li_4186,400,400,41.22831715193623,1,157.6591627150829,124.86888078840335,108.60841951826217,133.59984897616854
li_4400,400,400,0,0,0,0,0,0
li_3242,400,400,94.61104367990443,1,21.21532826499277,59.73453756560105,175.30297759544987,261.71779172506956
li_3242,400,400,290.9238652538023,1,50.276667758850024,278.1750528173624,149.94750202692876,330.7762095430047
li_4588,400,400,0,0,0,0,0,0
li_3875,400,400,262.16559173155605,1,128.80968342631127,336.9307638235181,231.6921078406065,72.26684829163692
li_3875,400,400,164.72023287420606,1,117.35804593406414,55.73281677059416,87.88633926090874,240.64460008068403
li_3875,400,400,255.3982574919115,1,399.37541778912896,194.49390782393263,164.29326403840344,316.7787938577469
li_1172,400,400,0,0,0,0,0,0
li_253,400,400,285.20862069582915,1,352.1732679942151,72.79505652231065,53.178259392936766,110.55222800220376
li_1611,400,400,207.28781424925643,1,317.91855553055626,132.98123869166568,257.82120112269797,164.1920028100667
li_1611,400,400,157.93841023638146,1,12.517567938006158,108.1508324777217,169.01606034919138,43.322702762275476
li_1611,400,400,100.40922175941323,1,22.8915812175186,55.114333045021226,215.28923299408714,120.19083090975032
li_231,400,400,269.9130593190853,1,68.42270323735748,241.81483205987266,265.9615422373967,59.108383563461196
li_231,400,400,48.123733375546756,1,244.07111659830574,292.09132425296855,289.41215158803726,286.25725526584597
li_231,400,400,36.62457393276463,1,123.31247736337359,159.68866074099716,143.92107663208665,139.6628259778808
li_2760,400,400,0,0,0,0,0,0
li_396,400,400,0,0,0,0,0,0
li_2520,400,400,0,0,0,0,0,0
li_302,400,400,300.33454960036875,1,392.9104649265672,134.02693925467327,69.4071269919882,221.65745316354744
li_302,400,400,415.3213968447857,1,347.656747661073,89.88981660286042,38.378710592509705,364.0289400257693
li_4151,400,400,265.22568624298776,1,142.82259370868186,183.71377216329861,87.88886466519811,349.9433936618489
li_4151,400,400,111.10853325041873,1,102.1431433902316,111.80185091570164,13.681253203216048,124.3691727337449
li_4151,400,400,362.69690015623144,1,258.78708719143464,236.99110190927723,13.0521873894899,375.09358890113924
li_481,400,400,228.6393877060563,1,222.1311759333119,13.38927100464784,43.19709334704158,136.48582116210454
li_922,400,400,321.1737218682934,1,383.0976750974915,158.28208243248775,169.87988691356236,399.2496951129306
li_922,400,400,353.1707495802385,1,314.99954471253335,4.070303166638656,329.94982974952325,162.46077007468296
li_4155,400,400,48.11368195346717,1,290.5581490041739,279.7802962896972,103.90340737851798,150.79439032816876
li_4155,400,400,228.10686066046566,1,226.647449340456,4.052359057362009,59.61937934932213,9.777974250405386
li_4155,400,400,308.5509519032991,1,106.29412983798873,285.4397499949842,115.81708153218759,367.03518736653524
li_906,400,400,354.44076384151646,1,30.871165528309994,368.41862812602835,227.2854362328527,119.16529210420492
li_906,400,400,126.17591629267893,1,263.0510572485404,389.19496845511634,394.8050939527295,397.6468395086534
li_673,400,400,323.10668653022054,1,10.97253006639467,269.28628443952164,160.7194230127173,354.8120173644803
li_379,400,400,28.351003352470933,1,335.94679653503573,336.05133737372944,7.337783444983348,35.68859405605518
li_379,400,400,143.1890182573949,1,341.9454371180518,368.0856046396021,258.77937685364003,117.99661302417879
li_379,400,400,73.38103579290107,1,347.689376446012,274.7682794917329,192.67424164605288,184.47119141923713
li_1900,400,400,0,0,0,0,0,0
li_2983,400,400,129.2793508723212,1,369.7371068572012,246.08335806377178,117.44676902952746,155.16812864580046
li_2983,400,400,443.0159569920257,1,38.64330590344465,357.54265888734545,324.51108022631394,16.994672833131517
li_2983,400,400,338.26938493039,1,254.3321571991778,236.01869091149067,338.03452319339425,0.26123571536689205
li_2701,400,400,340.50360094348264,1,189.17025460915303,85.09277816965022,3.853812468734663,328.06143291196724
li_2523,400,400,101.70689327957767,1,231.6748419176319,131.91344729253228,357.34660509748727,337.54871927504286
li_2523,400,400,167.49451711649536,1,215.8471446365387,314.4718873010016,137.8872550650877,2.5078866278828826
li_2523,400,400,206.37948172936004,1,32.979094727455085,232.2200196929286,184.69110707226656,130.88084506043649
li_1665,400,400,99.75587215387861,1,353.7727571734084,256.0157530295356,343.8889354547203,324.01930611756853
li_3411,400,400,219.8908648909876,1,95.56302966608752,297.43324024241576,191.57571098281645,278.75604445531155
li_3411,400,400,292.18934247243493,1,144.21168575545917,104.66522204004943,27.281134245319816,316.78189255534505
li_3411,400,400,307.50941063341156,1,102.56052973795428,314.72148552220307,143.90824257812912,366.50601091559963
li_1454,400,400,94.11249648084431,1,357.63397512295853,279.1303015681814,137.66384638169237,85.75686002858265
li_1454,400,400,394.56508163547426,1,19.434200749454476,384.19325891383374,284.12940848416616,133.68861237804518
li_1535,400,400,151.3547573702623,1,227.59554017321406,371.33948263361833,52.479106244754405,99.87047238407301
li_1535,400,400,240.66426221490389,1,279.8669603871234,76.43418511126288,245.54356316013286,374.12969402581075
li_1535,400,400,94.76459190469514,1,274.2019293297881,352.48648289820994,227.36965490097342,173.96687827413223
li_1960,400,400,0,0,0,0,0,0
li_1691,400,400,94.21462707734439,1,372.80716350387723,294.09639138292874,210.26551291411727,158.48703951592609
li_1691,400,400,311.6409143926667,1,61.12109749195529,345.2401248083241,324.82366077003746,196.77508467370637
li_1691,400,400,141.24777827698995,1,258.56320338057725,117.46834451135726,64.25926940942573,57.68844991254376
li_2225,400,400,247.8191933993743,1,79.79349071872947,277.5592966004186,162.94841485753847,13.606395850553854
li_2458,400,400,289.948450325988,1,273.5663197572282,116.58975511835249,311.1093234693178,67.32978782159611
li_2458,400,400,95.95492151685491,1,300.26459979838444,204.44468463915877,182.3400907758375,177.2517882902751
li_4567,400,400,181.46598180057393,1,219.87873941482098,69.60430242201348,263.78312192535793,162.0604787364349
li_4567,400,400,161.45073271647587,1,202.42146000294272,248.74001310684784,127.94010764508816,282.604035996361
li_4567,400,400,132.6742358759039,1,236.0847052520081,153.93319657153165,197.79571978009295,93.61519143253378
li_4856,400,400,0,0,0,0,0,0
li_308,400,400,0,0,0,0,0,0
li_2383,400,400,141.8082576926088,1,5.876379074865001,126.32664574250003,352.2922882458416,277.45035341309585
li_2383,400,400,79.27079084540868,1,334.67518469099014,384.31552682818784,51.70154807076024,113.50522687516866
li_2383,400,400,177.54097719627643,1,63.84798049277829,240.14192622990095,42.93969173880776,63.94548332696748
li_3818,400,400,115.51585600028062,1,25.21570078759572,132.55113256149565,352.2030859496769,309.5062702207722
li_3818,400,400,110.60000555763379,1,83.65425919151531,26.259313335327008,100.55811413597561,195.1000700048587
li_1356,400,400,0,0,0,0,0,0
li_91,400,400,262.8020950168956,1,230.2473142301479,38.92892406004673,388.5975902514214,208.42485444494505
li_91,400,400,194.19921555696138,1,126.78738635157694,290.38256683900755,112.70622882299092,8.06420932688141
li_91,400,400,59.756525349486445,1,41.55993218634508,18.094966473465757,229.08982993283607,284.0465192976187
li_82,400,400,156.30505729285613,1,41.07924501559799,36.45248889925527,57.30680249700435,213.5433669214787
li_82,400,400,226.27058204965502,1,87.60604583732308,0.7074683295718032,88.59636969036507,297.51504651993673
li_4717,400,400,302.70881885547703,1,321.119313949683,94.19294071352438,324.226346917532,123.88401453927091
li_3082,400,400,393.2028617756089,1,392.7011949557098,0.21491237121957774,231.9734010742432,255.7012010467711
li_3082,400,400,218.06716355711862,1,263.2238482586095,304.5456726030103,87.47545560931998,301.5917666524014
li_1242,400,400,245.0315030329123,1,126.22344606711789,369.17937742978074,316.9529110052829,348.77826087404577
li_1242,400,400,58.826802364506236,1,69.93759874951505,128.45920648088892,270.7066027057643,264.7221140084838
li_2148,400,400,0,0,0,0,0,0
li_2418,400,400,203.71783829188306,1,215.2726908464738,255.63117557782493,161.0482239376807,360.72834400101374
li_2418,400,400,150.89273527151695,1,279.20591021086386,212.95093932504776,230.58946973384184,95.02068132500581
