filename,width,height,length,class,xmin,ymin,xmax,ymax
li_0,400,400,220.4705511788688,1,7.187499999999999,77.77777777777777,173.75,222.22222222222223
li_0,400,400,211.1111111111111,1,220.3125,11.111111111111143,220.3125,222.22222222222223
li_0,400,400,135.50001441420588,1,5.625,172.22222222222223,131.5625,222.22222222222223
li_0,400,400,158.61830167102408,1,392.1875,122.22222222222223,269.0625,222.22222222222223
li_1,400,400,261.7569675661843,1,28.4375,5.555555555555543,175.3125,222.22222222222223
li_1,400,400,255.61413315668688,1,365.3125,5.555555555555543,229.6875,222.22222222222223
li_1,400,400,116.86244011373554,1,15.0,166.66666666666666,117.81250000000001,222.22222222222223
li_1,400,400,123.1130924241389,1,389.6875,161.11111111111111,282.8125,222.22222222222223
li_2,400,400,237.07585024072173,1,6.25,38.88888888888886,156.5625,222.22222222222223
li_2,400,400,230.8646088962487,1,316.5625,11.111111111111143,223.12500000000003,222.22222222222223
li_2,400,400,88.38968437556696,1,15.312500000000002,183.33333333333334,94.6875,222.22222222222223
li_3,400,400,247.37589831963106,1,39.6875,5.555555555555543,159.0625,222.22222222222223
li_3,400,400,256.28816572525915,1,365.9375,11.111111111111143,220.62499999999997,222.22222222222223
li_3,400,400,107.09860484309038,1,10.3125,166.66666666666666,101.875,222.22222222222223
li_4,400,400,254.46023432099258,1,26.875,5.555555555555543,160.3125,222.22222222222223
li_4,400,400,252.99670960201132,1,343.75,5.555555555555543,213.125,222.22222222222223
li_4,400,400,135.77971277490084,1,394.0625,161.11111111111111,272.8125,222.22222222222223
li_5,400,400,239.8060961163579,1,71.5625,11.111111111111143,185.3125,222.22222222222223
li_5,400,400,247.92720954862514,1,365.625,11.111111111111143,235.62500000000003,222.22222222222223
li_5,400,400,149.8846167591904,1,6.5625,144.44444444444446,134.6875,222.22222222222223
li_5,400,400,115.21631247065852,1,392.1875,166.66666666666666,291.25,222.22222222222223
li_6,400,400,248.4388976201079,1,41.875,5.555555555555543,163.4375,222.22222222222223
li_6,400,400,254.87901324121978,1,360.9375,11.111111111111143,218.125,222.22222222222223
li_6,400,400,121.7591497895931,1,7.5,161.11111111111111,112.8125,222.22222222222223
li_6,400,400,125.46979617854818,1,386.5625,166.66666666666666,274.0625,222.22222222222223
li_7,400,400,249.98283361201916,1,40.3125,5.555555555555543,165.0,222.22222222222223
li_7,400,400,258.97471157348144,1,366.875,11.111111111111143,216.87500000000003,222.22222222222223
li_7,400,400,126.10874496831919,1,5.625,161.11111111111111,115.9375,222.22222222222223
li_7,400,400,135.77971277490084,1,392.8125,161.11111111111111,271.5625,222.22222222222223
li_8,400,400,261.5817479311094,1,27.8125,5.555555555555543,174.375,222.22222222222223
li_8,400,400,237.46548086131267,1,320.9375,5.555555555555543,223.74999999999997,222.22222222222223
li_8,400,400,139.52218464357577,1,6.25,150.0,125.62500000000001,222.22222222222223
li_8,400,400,138.18767867999682,1,392.5,150.0,274.6875,222.22222222222223
li_9,400,400,243.3057838920165,1,6.875000000000001,27.777777777777775,153.125,222.22222222222223
li_9,400,400,247.98152162902068,1,334.375,5.555555555555543,213.75000000000003,222.22222222222223
li_9,400,400,105.14870422406544,1,10.0,172.22222222222223,102.49999999999999,222.22222222222223
li_9,400,400,137.00197845540205,1,387.8125,155.55555555555554,268.125,222.22222222222223
li_10,400,400,227.11663024659356,1,93.125,11.111111111111143,176.875,222.22222222222223
li_10,400,400,255.7618454265669,1,395.3125,16.66666666666663,243.125,222.22222222222223
li_10,400,400,134.46460639253507,1,4.6875,144.44444444444446,114.375,222.22222222222223
li_10,400,400,110.6867765363144,1,395.3125,172.22222222222223,296.5625,222.22222222222223
li_11,400,400,258.1318308552714,1,24.6875,5.555555555555543,165.0,222.22222222222223
li_11,400,400,251.4303435164855,1,350.9375,11.111111111111143,214.37499999999997,222.22222222222223
li_11,400,400,120.17481499605657,1,4.375,166.66666666666666,110.9375,222.22222222222223
li_11,400,400,133.8299174605012,1,392.8125,161.11111111111111,273.75,222.22222222222223
li_12,400,400,237.72195860015637,1,63.125,5.555555555555543,160.9375,222.22222222222223
li_12,400,400,194.79650667387665,1,392.1875,111.11111111111114,232.1875,222.22222222222223
li_12,400,400,115.06875293160418,1,9.6875,161.11111111111111,107.18749999999999,222.22222222222223
li_12,400,400,46.65489734608208,1,397.1875,211.11111111111111,351.875,222.22222222222223
li_13,400,400,246.03101603394327,1,43.125,5.555555555555543,159.6875,222.22222222222223
li_13,400,400,265.1590775737333,1,377.1875,16.66666666666663,209.68749999999997,222.22222222222223
li_13,400,400,121.21897771176165,1,6.5625,161.11111111111111,111.25,222.22222222222223
li_13,400,400,154.78062572781664,1,386.875,155.55555555555554,247.18749999999997,222.22222222222223
li_14,400,400,248.74531071096487,1,38.75,5.555555555555543,160.9375,222.22222222222223
li_14,400,400,236.45898596744658,1,330.3125,16.66666666666663,213.4375,222.22222222222223
li_14,400,400,117.72832508039248,1,5.9375,161.11111111111111,106.5625,222.22222222222223
